Song,Genre,Version,Chart,Difficulty,Level,Achv,Rank,FC/AP,Sync,DX ✦,DX %,DX Score,Chart Constant
リアライズ,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,10,97.16%,S,-,-,0,81.90%,1272/1554,10
マーシャル・マキシマイザー,niconico＆VOCALOID™,FESTiVAL,DX,EXPERT,9+,99.46%,SS,FC,-,0,82.60%,1439/1743,9.8
強風オールバック,niconico＆VOCALOID™,BUDDiES PLUS,DX,EXPERT,9+,90.55%,AA,-,SYNC,0,71.00%,1082/1524,9.7
寝起きヤシの木,niconico＆VOCALOID™,BUDDiES PLUS,DX,EXPERT,9+,91.57%,AA,-,SYNC,0,77.50%,905/1167,9.8
snooze,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,10+,98.26%,S+,-,SYNC,1,85.00%,1571/1848,10.7
ワールドワイドワンダー,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,9,99.16%,SS,-,-,1,87.10%,1275/1464,9.5
エイプリルスター,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,10,99.49%,SS,-,SYNC,1,87.50%,1506/1722,10.2
オーバーライド,niconico＆VOCALOID™,PRiSM (beta),DX,EXPERT,11,100.92%,SSS+,FC+,SYNC,2,92.60%,1587/1713,11
39,niconico＆VOCALOID™,maimai PLUS,STD,EXPERT,11,96.06%,AAA,-,SYNC,0,75.20%,670/891,11.2
グリーンライツ・セレナーデ,niconico＆VOCALOID™,maimaiでらっくす,DX,EXPERT,10,66.53%,B,-,SYNC,0,44.60%,821/1839,10.3
回る空うさぎ,niconico＆VOCALOID™,FESTiVAL,DX,EXPERT,8,99.20%,SS,-,-,0,83.20%,744/894,8.2
Alice in 冷凍庫,niconico＆VOCALOID™,Splash PLUS,DX,EXPERT,9+,95.21%,AAA,-,SYNC,0,76.70%,1028/1341,9.8
アスノヨゾラ哨戒班,niconico＆VOCALOID™,Splash,DX,EXPERT,9,93.75%,AA,-,-,0,79.00%,1175/1488,9
キミノヨゾラ哨戒班,niconico＆VOCALOID™,PiNK PLUS,STD,EXPERT,10+,95.87%,AAA,-,SYNC,0,75.40%,1203/1596,10.8
初音天地開闢神話,niconico＆VOCALOID™,UNiVERSE PLUS,DX,EXPERT,11,99.59%,SS+,-,SYNC,1,89.80%,1811/2016,11
初音ミクの激唱,niconico＆VOCALOID™,MiLK PLUS,STD,EXPERT,12,92.28%,AA,-,SYNC,0,67.40%,1139/1689,12.4
初音ミクの消失,niconico＆VOCALOID™,BUDDiES,DX,EXPERT,12,99.85%,SS+,FC,SYNC,1,87.70%,1684/1920,12
初音ミクの消失,niconico＆VOCALOID™,PiNK,STD,EXPERT,11+,97.09%,S,FC,SYNC,0,76.70%,1457/1899,11.8
終点,niconico＆VOCALOID™,FiNALE,STD,EXPERT,12,99.05%,SS,-,SYNC,0,83.60%,1331/1593,12.4
キャットラビング,niconico＆VOCALOID™,FESTiVAL PLUS,DX,EXPERT,8+,92.46%,AA,-,-,0,74.40%,821/1104,8.8
だれかの心臓になれたなら,niconico＆VOCALOID™,maimaiでらっくす,DX,EXPERT,9,94.02%,AAA,-,-,0,77.50%,1144/1476,9.2
春嵐,niconico＆VOCALOID™,UNiVERSE,DX,EXPERT,10,100.03%,SSS,FC,SYNC,2,91.40%,1187/1299,10.2
ラグトレイン,niconico＆VOCALOID™,UNiVERSE,DX,EXPERT,9+,96.85%,AAA,-,SYNC,0,79.60%,1280/1608,9.8
ダンスロボットダンス,niconico＆VOCALOID™,MiLK,STD,EXPERT,11,100.47%,SSS,FC,SYNC,2,90.00%,1780/1977,11.5
